Country Name,GDP at market prices (constant 2005 US$),GDP at market prices (current US$),GDP per capita (constant 2005 US$),GDP per capita (current US$),Internet users (per 100 people),Population growth (annual %),"Population, total"
Bosnia and Herzegovina,17176781336.7644,17176781336.7644,4614.8290411405,4614.8290411405,42.75,-0.655462607580553,3722084.0
Botswana,12786654365.8738,12786654365.8738,6346.15620387349,6346.15620387349,6.0,1.75154449757078,2014866.0
Brazil,2208871646202.82,2208871646202.82,11224.1540829355,11224.1540829355,40.65,0.970296367127195,196796269.0
British Virgin Islands,,,,,,,
Brunei Darussalam,13707370737.0737,13707370737.0737,35268.1011703581,35268.1011703581,53.0,1.26614450607904,388662.0
Bulgaria,50610031135.7791,50610031135.7791,6843.26328885315,6843.26328885315,46.23,-0.658275446635908,7395599.0
Burkina Faso,8979966766.07232,8979966766.07232,575.446452687734,575.446452687734,2.4,3.01924468828771,15605217.0
Burundi,2026864469.3638802,2026864469.3638802,231.194325649216,231.194325649216,1.0,3.2211828553465,8766930.0
Cabo Verde,1664310769.55229,1664310769.55229,3312.82598480901,3312.82598480901,30.0,1.0849190867843599,502384.0
Cambodia,11242275198.9783,11242275198.9783,785.6928841378259,785.6928841378259,1.26,1.5390451332884398,14308740.0
Cameroon,26143818509.6421,26143818509.6421,1309.1222080194802,1309.1222080194802,4.3,2.7306902313796,19970495.0
Canada,1613464422811.13,1613464422811.13,47447.4760241936,47447.4760241936,80.3,1.11395972071239,34005274.0
Cayman Islands,,,,,66.0,2.2371727120214597,55507.0
Central African Republic,1986014845.6318398,1986014845.6318398,446.443449375206,446.443449375206,2.0,1.00071378122449,4448525.0
Chad,10657705536.4978,10657705536.4978,896.5697341138609,896.5697341138609,1.7,3.28730923098424,11887202.0
Channel Islands,,,,,,0.6147405777360121,159581.0
Chile,218537551220.071,218537551220.071,12860.1776447469,12860.1776447469,45.0,0.9692473869462429,16993354.0
China,6100620488867.55,6100620488867.55,4560.512586009289,4560.512586009289,34.3,0.48295968867836103,1337705000.0
Colombia,287018179193.92303,287018179193.92303,6250.65492574579,6250.65492574579,36.5,1.09908582748666,45918097.0
Comoros,530493353.21893704,530493353.21893704,769.174288260466,769.174288260466,5.1,2.41254187719426,689692.0
"Congo, Dem. Rep.",20523285374.187,20523285374.187,318.075751596552,318.075751596552,0.72,3.33093595752052,64523263.0
"Congo, Rep.",12007880438.6232,12007880438.6232,2737.34233022991,2737.34233022991,5.0,3.07836267516329,4386693.0
Costa Rica,37268635287.0856,37268635287.0856,8199.41462068027,8199.41462068027,36.5,1.2623564676023602,4545280.0
Cote d'Ivoire,24884505034.5564,24884505034.5564,1219.74909551521,1219.74909551521,2.7,2.3054642635324702,20401331.0
Croatia,59665427464.5326,59665427464.5326,13505.7458630323,13505.7458630323,56.55,-0.255390215675652,4417781.0
Cuba,64328000000.0,64328000000.0,5676.14140269906,5676.14140269906,15.9,0.12757569577560102,11333051.0
Curacao,,,,,,2.3178465907392596,149311.0
Cyprus,25562251655.6291,25562251655.6291,30818.4639574235,30818.4639574235,52.99,1.3146352758850102,1112607.0
Czech Republic,207477857918.91898,207477857918.91898,19808.0710912518,19808.0710912518,68.82,0.29136167418041997,10474410.0
Denmark,321995350346.50104,321995350346.50104,58041.4112245601,58041.4112245601,88.72,0.444197154509531,5547683.0
